,DATE,Cons_Materials,COMPUTSA,Income,UNRATE,FEDFUNDS,CSUSHPISA,year,month
0,1987-01-01,107.6,1862.0,6494.2,6.6,6.43,63.965,1987,1
1,1987-02-01,107.9,1771.0,6525.0,6.6,6.1,64.425,1987,2
2,1987-03-01,108.1,1694.0,6530.5,6.6,6.13,64.735,1987,3
3,1987-04-01,108.3,1735.0,6282.3,6.3,6.37,65.132,1987,4
4,1987-05-01,108.3,1713.0,6537.0,6.3,6.85,65.564,1987,5
5,1987-06-01,108.6,1635.0,6527.6,6.2,6.73,66.071,1987,6
6,1987-07-01,109.2,1685.0,6545.8,6.1,6.58,66.507,1987,7
7,1987-08-01,109.7,1624.0,6574.0,6.0,6.73,66.938,1987,8
8,1987-09-01,110.5,1587.0,6575.3,5.9,7.22,67.33,1987,9
9,1987-10-01,111.5,1577.0,6619.6,6.0,7.29,67.738,1987,10
10,1987-11-01,112.2,1578.0,6648.1,5.8,6.69,68.107,1987,11
11,1987-12-01,112.6,1632.0,6711.5,5.7,6.77,68.506,1987,12
12,1988-01-01,113.9,1554.0,6730.2,5.7,6.83,68.858,1988,1
13,1988-02-01,114.0,1450.0,6773.5,5.7,6.58,69.262,1988,2
14,1988-03-01,114.2,1600.0,6804.3,5.7,6.58,69.638,1988,3
15,1988-04-01,114.9,1615.0,6830.1,5.4,6.87,69.977,1988,4
16,1988-05-01,115.2,1483.0,6841.7,5.6,7.09,70.42699999999999,1988,5
17,1988-06-01,115.3,1512.0,6868.5,5.4,7.51,70.889,1988,6
18,1988-07-01,115.9,1527.0,6898.2,5.4,7.75,71.354,1988,7
19,1988-08-01,116.1,1551.0,6918.4,5.6,8.01,71.8,1988,8
20,1988-09-01,116.3,1531.0,6932.4,5.4,8.19,72.241,1988,9
21,1988-10-01,117.1,1529.0,6969.9,5.4,8.3,72.63600000000001,1988,10
22,1988-11-01,117.4,1407.0,6971.9,5.3,8.35,73.071,1988,11
23,1988-12-01,117.6,1547.0,7005.2,5.3,8.76,73.465,1988,12
